region,final_cut,data,data_err,ttbar,ttbar_err,signal,signal_err
2JB,MTL > 100,,,393.03414791822433,27.79339055808022,5.2793000638484955,1.4642143906743126
2JBveto,MTL > 100,,,209.30168936401606,20.78453070850132,34.51850041747093,3.744057049387717
4JLowxB,MTL [] 150 520,,,187.66402530670166,19.66685205750819,0.05996282398700714,0.02998141199350357
4JLowxBveto,MTL [] 150 520,,,22.671546936035156,6.654793069547404,0.3297955319285393,0.07031264365804417
4JHighxB,MTL > 520,,,16.65614116191864,7.097302907732884,0.0,0.0
4JHighxBveto,MTL > 520,,,3.982140064239502,2.8282165276546394,0.0,0.0
6JB,MTL > 250,,,68.25853502750397,11.823983727936529,0.012668614275753498,0.012668614275753498
6JBveto,MTL > 250,,,13.900752782821655,5.855663669456925,0.038005842827260494,0.021942683587097455
