Selection in region SR2j2800,CutFlow_Cutflow
all Events,26354.0 ±162.34
ALL,26354.0 ±162.34
evtweigt 26354/160,4340833.064147949 ±26739.29
MET > 300,3874367.2814331055 ±25261.76
Size(goodJets) >= 2,3857237.182067871 ±25205.86
Pt(goodJets[0]) > 200,3853284.0822143555 ±25192.94
Meff > 800,3849989.832336426 ±25182.16
dphi1 > 0.8,3832695.020477295 ±25125.54
dphi2 > 0.8,3480539.7085266113 ±23943.44
Size(goodJets) < 3 || dphi3 > 0.8,2959059.952850342 ±22077.00
Size(goodJets) < 4 || dphi4 > 0.4,2805218.4835510254 ±21495.45
Size(goodJets) < 5 || dphi5 > 0.4,2717920.8617858887 ±21158.34
Size(goodJets) < 6 || dphi6 > 0.4,2677401.5882873535 ±21000.04
Pt(goodJets[1]) > 250,2258208.291320801 ±19286.14
mjj < 1200,1305511.2266235352 ±14664.04
METsqrtHT > 16,1151505.0448303223 ±13771.97
Meff > 2800,293352.9516296387 ±6951.18
