Selection in region SR2j2200,CutFlow_Cutflow
all Events,26354.0 ±162.34
ALL,26354.0 ±162.34
evtweigt 26354/160,4340833.064147949 ±26739.29
MET > 300,3874367.2814331055 ±25261.76
Size(goodJets) >= 2,3857237.182067871 ±25205.86
Pt(goodJets[0]) > 200,3853284.0822143555 ±25192.94
Meff > 800,3849989.832336426 ±25182.16
dphi1 > 0.4,3842413.0576171875 ±25157.37
dphi2 > 0.4,3682312.5135498047 ±24627.69
Size(goodJets) < 3 || dphi3 > 0.4,3409383.91116333 ±23697.43
Size(goodJets) < 4 || dphi4 > 0.2,3313685.9522094727 ±23362.48
Size(goodJets) < 5 || dphi5 > 0.2,3255707.15435791 ±23157.19
Size(goodJets) < 6 || dphi6 > 0.2,3226717.755432129 ±23053.87
Pt(goodJets[0]) > 600,2443345.134460449 ±20061.14
METsqrtHT > 16,1903747.0044555664 ±17707.93
Meff > 2200,1497565.994506836 ±15705.66
