file,region,pair,selection_match_rate_raw,selection_match_rate_norm,n,within_1sigma_rate,within_2sigma_rate,mean_symmetric_percent_diff,median_symmetric_percent_diff,rmse_percent_diff,mean_abs_pull,exact_match_rate
cutflow_comparison_2JB.csv,2JB,ibrahim_vs_paper,1.0,1.0,15,0.13333333333333333,0.3333333333333333,101.11330766369011,127.18885789751062,124.00500942319965,19.976892594000777,0.06666666666666667
cutflow_comparison_2JB.csv,2JB,ahmetcan_vs_paper,0.125,0.25,15,0.13333333333333333,0.3333333333333333,100.70743222675901,127.17572439641378,123.5148327301519,19.913016745275048,0.06666666666666667
cutflow_comparison_2JB.csv,2JB,ibrahim_vs_ahmetcan,0.125,0.25,15,0.8666666666666667,1.0,0.9522176726206545,0.02205025954916575,2.5766435774948357,0.16066028189288659,0.06666666666666667
cutflow_comparison_2JBveto.csv,2JBveto,ibrahim_vs_paper,1.0,1.0,15,0.13333333333333333,0.3333333333333333,98.07966464603129,127.18885789751062,120.01714007327243,22.170346695539312,0.06666666666666667
cutflow_comparison_2JBveto.csv,2JBveto,ahmetcan_vs_paper,0.125,0.25,15,0.13333333333333333,0.3333333333333333,97.67325273141984,127.17572439641378,119.51008740598054,22.106380316551775,0.06666666666666667
cutflow_comparison_2JBveto.csv,2JBveto,ibrahim_vs_ahmetcan,0.125,0.25,15,0.8666666666666667,1.0,0.9522176726206545,0.02205025954916575,2.5766435774948357,0.16092495895761547,0.06666666666666667
cutflow_comparison_4JHighxB.csv,4JHighxB,ibrahim_vs_paper,1.0,1.0,18,0.6111111111111112,0.7222222222222222,40.954618423534406,34.27658551287913,58.98272993036841,3.2591435211473927,0.1111111111111111
cutflow_comparison_4JHighxB.csv,4JHighxB,ahmetcan_vs_paper,0.21052631578947367,0.3684210526315789,18,0.6111111111111112,0.7222222222222222,44.013685524409894,34.07729654034648,61.94465027461238,3.2966939350906954,0.1111111111111111
cutflow_comparison_4JHighxB.csv,4JHighxB,ibrahim_vs_ahmetcan,0.21052631578947367,0.3684210526315789,18,0.7777777777777778,1.0,4.307253452579058,0.0,9.092416854421439,0.4249433741466301,0.5555555555555556
cutflow_comparison_4JHighxBveto.csv,4JHighxBveto,ibrahim_vs_paper,1.0,1.0,17,0.29411764705882354,0.5294117647058824,44.739446982857736,35.92493448856863,57.95734032663074,3.9357614941018086,0.058823529411764705
cutflow_comparison_4JHighxBveto.csv,4JHighxBveto,ahmetcan_vs_paper,0.16666666666666666,0.3333333333333333,17,0.4117647058823529,0.5294117647058824,43.83009188098698,34.83671637327139,58.45670671640998,3.8372783331670983,0.058823529411764705
cutflow_comparison_4JHighxBveto.csv,4JHighxBveto,ibrahim_vs_ahmetcan,0.16666666666666666,0.3333333333333333,17,0.7647058823529411,0.7647058823529411,3.792325993755357,0.0,7.802131130936153,0.775152342415968,0.5294117647058824
cutflow_comparison_4JLowxB.csv,4JLowxB,ibrahim_vs_paper,1.0,1.0,18,0.6666666666666666,0.7222222222222222,35.93729458245445,34.27658551287913,50.501147251005825,3.2202693871013897,0.1111111111111111
cutflow_comparison_4JLowxB.csv,4JLowxB,ahmetcan_vs_paper,0.21052631578947367,0.3684210526315789,18,0.6666666666666666,0.7222222222222222,39.01284391514582,34.07729654034648,52.661732911282904,3.261433642179161,0.1111111111111111
cutflow_comparison_4JLowxB.csv,4JLowxB,ibrahim_vs_ahmetcan,0.21052631578947367,0.3684210526315789,18,0.7777777777777778,1.0,3.557472803300922,0.0,7.067284777123588,0.4210261324902558,0.5555555555555556
cutflow_comparison_4JLowxBveto.csv,4JLowxBveto,ibrahim_vs_paper,1.0,1.0,17,0.35294117647058826,0.5294117647058824,40.7737779413595,35.76335183444402,53.57061000098391,3.8860525710863,0.058823529411764705
cutflow_comparison_4JLowxBveto.csv,4JLowxBveto,ahmetcan_vs_paper,0.16666666666666666,0.2777777777777778,17,0.4117647058823529,0.5294117647058824,43.83009188098698,34.83671637327139,58.45670671640998,3.8372783331670983,0.058823529411764705
cutflow_comparison_4JLowxBveto.csv,4JLowxBveto,ibrahim_vs_ahmetcan,0.16666666666666666,0.2777777777777778,17,0.7647058823529411,0.7647058823529411,10.041992285200584,0.0,32.174416797200244,1.6966293174956661,0.5294117647058824
cutflow_comparison_6JB.csv,6JB,ibrahim_vs_paper,1.0,1.0,16,0.3125,0.3125,65.61216425327365,94.40531256385417,79.25745731431002,4.252600228048758,0.0625
cutflow_comparison_6JB.csv,6JB,ahmetcan_vs_paper,0.17647058823529413,0.29411764705882354,16,0.3125,0.3125,64.8340669914964,92.84961970392794,78.30174072975126,4.22770291419862,0.0625
cutflow_comparison_6JB.csv,6JB,ibrahim_vs_ahmetcan,0.17647058823529413,0.29411764705882354,16,0.875,1.0,1.0210539138438828,0.0,1.8657847086109889,0.25981229583055543,0.5625
cutflow_comparison_6JBveto.csv,6JBveto,ibrahim_vs_paper,1.0,1.0,16,0.3125,0.3125,58.90503241190369,77.00187836863013,71.35925643318575,4.503027652363855,0.0625
cutflow_comparison_6JBveto.csv,6JBveto,ahmetcan_vs_paper,0.17647058823529413,0.29411764705882354,16,0.3125,0.3125,57.93921685510547,76.10103932984306,70.23890330102532,4.465841711798161,0.0625
cutflow_comparison_6JBveto.csv,6JBveto,ibrahim_vs_ahmetcan,0.17647058823529413,0.29411764705882354,16,0.8125,1.0,1.1649729915528202,0.0,2.053161594126104,0.36524298649519116,0.5625
