Selection in region SR4j3400,CutFlow_Cutflow
all Events,28090.0 ±167.60
ALL,28090.0 ±167.60
evtweigt 28090/407,1938693.0540466309 ±11567.33
MET > 300,1490012.2585906982 ±10140.83
Size(goodJets) >= 2,1490012.2585906982 ±10140.83
Pt(goodJets[0]) > 200,1483317.5905151367 ±10118.02
Meff > 800,1483041.5217285156 ±10117.08
Size(goodJets) >= 4,1419752.7523956299 ±9898.86
dphi4 > 0.2,1354462.4843597412 ±9668.57
Size(goodJets) < 5 || dphi5 > 0.2,1305115.1887512207 ±9490.81
Size(goodJets) < 6 || dphi6 > 0.2,1269916.4184570312 ±9361.95
Pt(goodJets[3]) > 100,825859.775177002 ±7549.74
m4j < 2000,734204.9380187988 ±7118.48
Aplanarity > 0.04,556071.5534515381 ±6195.04
METsqrtHT > 10,492230.64654541016 ±5828.58
Meff > 3400,1656.4127197265625 ±338.11
