Selection in region SR5j1600,CutFlow_Cutflow
all Events,28090.0 ±167.60
ALL,28090.0 ±167.60
evtweigt 28090/407,1938693.0540466309 ±11567.33
MET > 300,1490012.2585906982 ±10140.83
Size(goodJets) >= 2,1490012.2585906982 ±10140.83
Pt(goodJets[0]) > 200,1483317.5905151367 ±10118.02
Meff > 800,1483041.5217285156 ±10117.08
Size(goodJets) >= 5,1156452.1471557617 ±8933.93
dphi4 > 0.2,1104896.3012542725 ±8732.52
dphi5 > 0.2,1055549.005645752 ±8535.28
Size(goodJets) < 6 || dphi6 > 0.2,1020350.2353515625 ±8391.76
Pt(goodJets[0]) > 600,277311.0961608887 ±4374.84
METsqrtHT > 16,139069.65126037598 ±3098.10
Meff > 1600,138379.47929382324 ±3090.40
