Selection in region SR4j1000,CutFlow_Cutflow
all Events,28090.0 ±167.60
ALL,28090.0 ±167.60
evtweigt 28090/407,1938693.0540466309 ±11567.33
MET > 300,1490012.2585906982 ±10140.83
Size(goodJets) >= 2,1490012.2585906982 ±10140.83
Pt(goodJets[0]) > 200,1483317.5905151367 ±10118.02
Meff > 800,1483041.5217285156 ±10117.08
Size(goodJets) >= 4,1419752.7523956299 ±9898.86
Pt(goodJets[3]) > 100,927522.1058502197 ±8000.94
m4j < 2000,822477.9325408936 ±7534.26
Aplanarity > 0.04,623501.3545837402 ±6559.90
METsqrtHT > 16,283867.72984313965 ±4426.26
Meff > 1000,283867.72984313965 ±4426.26
