Selection in region SR5j1600,CutFlow_Cutflow
all Events,26866.0 ±163.91
ALL,26866.0 ±163.91
evtweigt 26866/3948,182822.17739582062 ±1115.39
MET > 300,86742.88302183151 ±768.30
Size(goodJets) >= 2,86702.05323457718 ±768.12
Pt(goodJets[0]) > 200,77991.69862031937 ±728.51
Meff > 800,76950.53904533386 ±723.63
Size(goodJets) >= 5,54473.74116182327 ±608.84
dphi4 > 0.2,52092.00357198715 ±595.39
dphi5 > 0.2,49839.56030845642 ±582.37
Size(goodJets) < 6 || dphi6 > 0.2,48267.61349916458 ±573.11
Pt(goodJets[0]) > 600,4430.031917095184 ±173.63
METsqrtHT > 16,2129.9539017677307 ±120.39
Meff > 1600,2129.9539017677307 ±120.39
