Selection in region SR4j3400,CutFlow_Cutflow
all Events,26866.0 ±163.91
ALL,26866.0 ±163.91
evtweigt 26866/3948,182822.17739582062 ±1115.39
MET > 300,86742.88302183151 ±768.30
Size(goodJets) >= 2,86702.05323457718 ±768.12
Pt(goodJets[0]) > 200,77991.69862031937 ±728.51
Meff > 800,76950.53904533386 ±723.63
Size(goodJets) >= 4,70315.69861650467 ±691.73
dphi4 > 0.2,67273.87946605682 ±676.61
Size(goodJets) < 5 || dphi5 > 0.2,65021.43620252609 ±665.18
Size(goodJets) < 6 || dphi6 > 0.2,63449.48939323425 ±657.09
Pt(goodJets[3]) > 100,24048.74469280243 ±404.54
m4j < 2000,22456.382989883423 ±390.92
Aplanarity > 0.04,16039.301426410675 ±330.37
METsqrtHT > 10,14297.230503559113 ±311.92
Meff > 3400,27.219858169555664 ±13.61
