Selection in region SR6j1000,CutFlow_Cutflow
all Events,28933.0 ±170.10
ALL,28933.0 ±170.10
evtweigt 28933/49.5,16911485.07220459 ±99422.58
MET > 300,14578140.849060059 ±92309.25
Size(goodJets) >= 2,14578140.849060059 ±92309.25
Pt(goodJets[0]) > 200,14576387.333862305 ±92303.70
Meff > 800,14576387.333862305 ±92303.70
Size(goodJets) >= 6,12867879.026184082 ±86725.66
dphi1 > 0.4,12582640.554016113 ±85759.06
dphi2 > 0.4,11700622.409545898 ±82698.69
dphi3 > 0.4,10708717.312683105 ±79115.73
dphi4 > 0.2,10157529.035522461 ±77052.76
dphi5 > 0.2,9613939.32421875 ±74962.63
dphi6 > 0.2,9089053.775024414 ±72887.57
Pt(goodJets[5]) > 75,6450597.907470703 ±61403.64
m6j < 2000,809539.5162963867 ±21752.70
Aplanarity > 0.08,561709.368347168 ±18119.66
METsqrtHT > 16,371745.2219238281 ±14740.66
Meff > 1000,371745.2219238281 ±14740.66
