Selection in region SR4j1000,CutFlow_Cutflow
all Events,28921.0 ±170.06
ALL,28921.0 ±170.06
evtweigt 28921/49.5,16897459.64593506 ±99360.73
MET > 300,15177390.450622559 ±94167.84
Size(goodJets) >= 2,15176806.187988281 ±94166.03
Pt(goodJets[0]) > 200,15176221.925354004 ±94164.22
Meff > 800,15176221.925354004 ±94164.22
Size(goodJets) >= 4,14741530.52545166 ±92805.85
Pt(goodJets[3]) > 100,12431940.33215332 ±85226.28
m4j < 2000,4053029.8939819336 ±48662.45
Aplanarity > 0.04,2887425.938598633 ±41073.29
METsqrtHT > 16,2056020.2100219727 ±34659.14
Meff > 1000,2056020.2100219727 ±34659.14
